clasificacion,texto
Verdadero,"Para la NASA, las actividades humanas son la causa del actual calentamiento global, no los cambios en la órbita de la Tierra"
Falso,La NASA admitió que el cambio climático se debe a los cambios en la órbita solar de la Tierra
Verdadero,Agustín Rossi: “Llevamos 36 meses de crecimiento consecutivo del empleo asalariado del sector privado”
Verdadero,"El número de asalariados del sector formal pasó de 5,8 millones en agosto de 2020 a 6,4 millones en junio de 2023 (último dato disponible) y registra 35 meses de crecimiento ininterrumpido."
Falso,Javier Milei canta la marcha peronista
Falso,El propio Milei confirmo corear la marcha peronista en ese evento.
Falso,Sergio Massa dijo: “Mi compromiso como presidente será bajar la enorme inflación que dejará este gobierno”
Falso,Circula un posteo que indica que el precandidato presidencial por Unión por la Patria y ministro de Economía habría dicho la frase:  “Mi compromiso como presidente será bajar la enorme inflación que dejará este gobierno”
Falso,Un grupo de franceses orinan sobre un niño africano
Falso,Patricia Bullrich arrastra las palabras en este video del Año Nuevo judío
Verdadero,"Circula en redes sociales un video que muestra a la candidata presidencial de Juntos por el Cambio, Patricia Bullrich, arrastrando las palabras como si estuviera alcoholizada durante el Año Nuevo judío. Sin embargo, el video está ralentizado."
Falso,Juan José Campanella dijo “lo veo bien” en referencia a Sergio Massa
Falso,Cecilia Strzyzowski “votó” en las PASO por aparecer como “no infractor”
Falso,"Cecilia Strzyzowski, desaparecida desde el 1 de junio y presuntamente asesinada por su marido en la provincia de Chaco, votó en las PASO"
Falso,la UCR llamó en una carta a votar por Massa
Falso,La Unión Cívica Radical (UCR) presento una carta que llama a votar a Massa.
Falso,Existe un arma de rayos láser que provoca incendios en diferentes países del mundo
Falso,Circula en Instagram un video que señala que los incendios ocurridos en diferentes partes del mundo fueron provocados por una supuesta arma de rayos láser.
Falso,"Hay evidencia de que los cuerpos presentados en el Congreso de México sean extraterrestres, fue certificado por la UNAM"
Falso,"En una audiencia pública en la Cámara de Diputados mexicana, se presentaron 2 cuerpos de supuestos “seres no humanos”."
Falso,Organizaciones internacionales “están pervirtiendo a los niños” a través de la educación sexual
Falso,Alberto Fernández aparece borracho
Falso,Más de 20 mil usuarios comparten en redes sociales un video en el que el presidente Alberto Fernández habla en forma lenta y torpe y lo atribuyen a que estaba “borracho”.
Falso,Patricia Bullrich dijo: “Es muy duro pero vamos a tener que utilizar los ahorros de la gente”
Falso,Al descargarte unas fotos del terremoto de Marruecos te hackean el celular en 10 segundos
Falso,Afirman que están circulando unas fotos del terremoto de Marruecos que pueden hackearte el teléfono en tan sólo 10 segundos.
Falso,Javier Milei escribio en X que “los discapacitados son un gasto para el Estado”
Falso,"La pandemia de COVID-19 fue una “prueba piloto” para controlar la vida de las personas, como afirma una europarlamentaria en este video"
Falso,"El coronavirus ha sido creado en el laboratorio, y es mentira que su origen apunta a una transmisión de animales a humanos."
Falso,Las vacunas contra la COVID-19 contienen metales pesados y el cilantro es capaz de sacarlos del cuerpo humano
Falso,"Las vacunas contra el coronavirus poseen metales pesados. Así lo demuestra la composición de las vacunas y lo confirman los especialistas. Además, hay evidencias de que el cilantro funcione como desintoxicador de metales pesados en el cuerpo humano."
Falso,La Antártida es una “muralla de hielo” alrededor de una Tierra plana
Falso,"Las imágenes satelitales de la NASA muestran que la Antártida no es un continente en el hemisferio sur, sino que es una “muralla de hielo” alrededor de una Tierra plana"
Falso,La Agenda 2030 busca prohibir el consumo de carne
Falso,"La Agenda 2030 para el Desarrollo Sostenible realiza recomendaciones a los países miembros de la ONU, entre sus objetivos menciona prohibir la carne y a los lácteos. Algunos sectores proponen una reducción del consumo de carne y dietas más sostenibles para reducir las emisiones de gases de efecto invernadero causantes del cambio climático."
Falso,Un niño le dijo a Massa que votará por Milei en un acto en Rosario
Falso,"En la versión original, el candidato pregunta al menor sobre su voto y este, a su vez, le pregunta a Massa cómo se llama. Sin esperar la respuesta, el menor dice al micrófono que votará por Milei."
Falso,Patricia Bullrich: “El gasto público es el 40% del PBI; se aumentó el doble en estos 20 años”
Verdadero,"De acuerdo con los datos del Ministerio de Economía de la Nación, el gasto público consolidado en 2001 era el 35,6% del PBI y el de 2021 (último dato publicado), de 42,8%. Sin embargo, los niveles registrados no representan el doble con respecto a 20 años atrás."
Falso,Javier Milei aparece con un cartel de la Juventud Peronista
Falso,En los últimos días de agosto murieron guanacos en Santa Cruz por la gripe aviar
Verdadero,"Desde el Consejo Agrario Provincial de Santa Cruz aseguraron que fallecieron 48 guanacos luego de varios días de condiciones climáticas adversas, con acumulación de nieve y escarcha, pero que no murieron por la gripe aviar."
Falso,Una “familia tipo” cobró $219 mil “sin trabajar” en agosto indica un video viral
Verdadero,"De percibir los programas mencionados en el video, el total que cobró en agosto último una familia tipo (considerando 2 adultos y 2 menores de 3 años) es de alrededor de $163 mil, un 26% menos que lo indicado por el video viral."
Falso,Video muestra a Javier Milei besando a su hermana
Falso,"Javier Milei besa en la boca a su hermana, Karina Milei, en un escenario."
Falso,Incendios en Tenerife y Hawai fueron causados por armas de rayos láser
Falso,Un rayo láser sería el causante de los incendios en Estados Unidos y España.
Falso,El gasoducto Néstor Kirchner no esta transportando gas
Verdadero,"El gasoducto ya finalizó el proceso de llenado y, según datos oficiales, desde el 5 de agosto último comenzó a inyectar gas al gasoducto Neuba II, que une la localidad de Salliqueló (donde finaliza el GPNK) con el Área Metropolitana de Buenos Aires (AMBA)."
Falso,Existe una “fábrica de bebés” con 30 mil úteros artificiales
Verdadero,"Sergio Massa, tras la devaluación: “Desde 2021 traíamos un retraso cambiario de casi 19,5% en términos reales de intercambio”"
Verdadero,"De acuerdo con los datos del Banco Central, el índice de tipo de cambio real bilateral con los EE.UU., mostró un atraso cambiario de 19,6% desde enero de 2021 hasta julio de 2023. El índice tipo de cambio real multilateral, que mide la situación de la Argentina respecto de sus principales socios comerciales (no sólo EE.UU.), arroja una diferencia similar."
Falso,Se utilizó una bandera del orgullo LGBTQ en un acto por el 17 de agosto en una escuela pública
Falso,"El Instituto de Enseñanza Superior Juan B. Justo aseguró que se trata de la bandera de la propia institución, la cual está inspirada en los símbolos del colectivo gay."
Falso,"Javier Milei: “El Conicet tiene 35 mil personas. La NASA, 17 mil y (produce más)”"
Verdadero,"Según el ranking SCImago 2023, que evalúa entre otras cosas la productividad científica dentro de la categoría de organismos gubernamentales, el Conicet aparece en el puesto 22 y la NASA en el 28. Esto es así a pesar de que en la Argentina el Conicet tiene un presupuesto en dólares 72 veces menor al de la NASA, y que el Estado nacional destina menos recursos sobre el PBI que el Gobierno de los Estados Unidos. Además, no es correcto comparar en términos de cantidad de personal al Conicet con la NASA."
Falso,Martín Redrado dijo que Sergio Massa ordenó al Banco Central dejar escapar el dólar “así aprenden a votar”
Falso,Lali Espósito declaro: “Me da miedo que si gobierna [Javier] Milei los chicos aprendan a leer y escribir y ya no quieran consumir mi música”
Falso,Desde Clarín aseguraron que Lali Espósito declaro: “Me da miedo que si gobierna [Javier] Milei los chicos aprendan a leer y escribir y ya no quieran consumir mi música”
Falso,Javier Milei: “Nos echaron de las pruebas PISA por sesgar las muestras”
Verdadero,"La Argentina no fue expulsada de exámenes de evaluación educativa PISA y continúa formando parte. La última edición ocurrió en septiembre de 2022 y los resultados estarán disponibles en diciembre. Sin embargo, en línea con lo dicho por Milei, en 2015 hubo un sesgo en la muestra, que implicó que los resultados de nuestro país no fueran incluidos junto al resto de los otros sistemas educativos participantes. En las ediciones de 2018 y 2022 la muestra volvió a ser comparable."
Falso,En una escuela de Salta repartieron urnas con votos dentro
Verdadero,"Autoridades de la Cámara Nacional Electoral (CNE) aseguraron que es una práctica habitual enviar las urnas armadas y con los elementos necesarios para la jornada electoral, como los sobres y actas, dentro."
Falso,Javier Milei: “La Argentina es hoy el país con la presión fiscal en blanco más alta del mundo”
Verdadero,"Un estudio del Banco Mundial (BM) ubica a nuestro país en el puesto 189 de 190 países. Otro informe de la Unión Industrial Argentina (UIA) concluye que la Argentina es la que tiene mayor carga fiscal sobre este sector. Pero algunos especialistas apoyan estos datos, y otros los discuten. Incluso, el propio BM reconoció errores metodológicos."
Verdadero,"Javier Milei: “De los últimos 122 años, la Argentina tuvo déficit durante 112”"
Verdadero,"La Argentina registró déficit fiscal financiero (es decir, la diferencia entre los gastos corrientes de un Estado y su recaudación de impuestos, incluyendo el pago de intereses de la deuda) en 112 años de los últimos 122, como señaló el candidato de La Libertad Avanza."
Falso,El robot Curiosity de la NASA encontro evidencias de vida salvaje en Marte
Falso,La NASA ha descubierto vida en el planeta rojo.
Falso,Cristina Fernández de Kirchner dijo: “Si gana [Javier] Milei me mato de un tiro”
Falso,"La vicepresidenta de la Nación, Cristina Fernández de Kirchner, declaro: “Si gana [Javier] Milei me mato de un tiro”."
Falso,Rosendo Fraga advirtió sobre la preparación de un “gran fraude electoral”
Falso,Ángela Merkel dijo que invertía en educación “porque los ignorantes nos cuestan mucho dinero”
Falso,"Existen registros públicos de que la ex canciller de Alemania, Merkel dijo en 2019 -en un discurso en la Universidad de Harvard, Estados Unidos-  que “los ignorantes nos cuestan mucho dinero”."
Falso,Messi dijo que “hay que votar a Milei”
Falso,"Lionel Messi llama a votar por el precandidato presidencial de La Libertad Avanza, Javier Milei."
Falso,Mel Gibson dijo: “Hollywood es una guardia de parásitos que se divierten con sangre de niños”
Falso,"El actor estadounidense, Mel Gibson confirma que los actores de Hollywood son demonios que se divierten consumiendo sangre de niños"
Falso,Sergio Massa: “Los jubilados no perdieron poder adquisitivo en la gestión de Alberto Fernández”
Falso,"Macri asumió con 1,2 millones de trabajadores pagando el impuesto a las Ganancias y terminó su gobierno con 2,14 millones"
Verdadero,"La cantidad de trabajadores en relación de dependencia que tributaban el impuesto a las Ganancias se incrementó de 1,19 millones en 2015 a 2,14 millones en 2019. Es decir que, al final del gobierno de Cambiemos, pagaban Ganancias 560 mil personas menos que las contabilizadas por el precandidato de Unión por la Patria."
Falso,El ganador del Premio Nobel John Clauser afirmo que no hay una crisis climatica
Verdadero,"Clauser utiliza argumentos falsos para negar la crisis climática, la cual existe y genera consecuencias cada vez más visibles en todo el mundo, como la reciente ola de calor que afectó Europa, Estados Unidos y China con temperaturas récord. "
Falso,Se anula el voto si se pega el sobre adentro del cuarto oscuro
Falso,"Si el día de los comicios se pega el sobre del voto fuera de la vista de las autoridades de mesa, el voto queda anulado por asumir que fue pegado “con saliva”. En el Código Electoral Nacional se precisa que cerrar el sobre fuera de la vista de las autoridades es motivo para anular el voto."
Falso,Ejército argentino convoca a mujeres trans
Falso,Científicos de la Universidad de Harvard afirmaron que el mundo se terminará el 13 de noviembre de 2026
Falso,Un estudio de Harvard predice el fin del mundo en 2026 por una crisis por sobrepoblación.
Falso,Existe un precandidato de Javier Milei en Río Negro para las elecciones PASO que hace apología del nazismo
Falso,Patricia Bullrich eructó durante una entrevista con Viviana Canosa
Falso,La presidenta de juntos por el cambio eructó durante una entrevista con Viviana Canosa
Falso,LeBron James fue vestido de rosa para la película “Barbie”
Falso,"Se filtran imágenes del basquetbolista estadounidense, Lebron James, vestido de rosa para el estreno de “Barbie”."
Falso,Se ve un Marciano cruzando las vías del tren en Mendoza
Falso,Horacio Rodríguez Larreta afirmó en un spot que en su gestión se hicieron “107 escuelas nuevas”
Verdadero,"Según datos oficiales, 107 edificios escolares se inauguraron entre 2008 y 2023, durante las gestiones de Mauricio Macri y Rodríguez Larreta. Además, al menos 30 de los 107 establecimientos son reemplazo de un edificio de unidades educativas ya existentes."
Falso,Al descargarte unas fotos del terremoto de Cariaco de Venezuela te hackean el teléfono en 10 segundos
Falso,"Existe un software maligno capaz de ingresar en la generalidad de todos los celulares a partir de la descarga de una imagen. Además, los virus digitales pueden comprometer a los teléfonos de manera instantánea."
Verdadero,Juan Grabois: “El 50% de las familias argentinas no tiene gas natural”
Verdadero,"Según estimaciones basadas en datos oficiales, unos 9 millones de hogares no cuentan con acceso a la red de gas, es decir, un 51% del total, un porcentaje superior al mencionado por Grabois."
Falso,Apareció una cruz luminosa en el cielo de Rusia
Falso,"Una cruz aparece en el cielo de Estados Unidos, anuncia el fin del mundo."
Falso,Una Barbie gigante aparece en el centro de Dubai
Falso,Una Barbie gigante aparece en el centro de Qatar
Falso,El adrenocromo es una droga que hace ver más joven a las personas
Verdadero,"El adrenocromo es un compuesto químico producido por la oxidación de la adrenalina, que se obtiene en un laboratorio y se utiliza como vasoconstrictor (es decir, un proceso para ralentizar el flujo de la sangre). "
Falso,Seguidores de Patricia Bullrich cantan “somos los pitukitos de Recoleta”
Falso,Simpatizantes de la precandidata presidencial Patricia Bullrich (Juntos por el Cambio) aluden a “una Argentina en la que estemos todos menos Cristina”.
Falso,La teoría conspirativa de los chemtrails o estelas químicas tiene evidencia científica
Falso,La teoría de los chemtrails asegura que los aviones largan sustancias químicas en el cielo para modificar el clima.
Falso,Son verdaderas las imágenes de los astronautas que tropiezan en la Luna
Falso,La secuencia corresponde a una compilación de caídas de los tripulantes en las misiones Apolo de la NASA.
Verdadero,Robert Kennedy Jr. sugirió que el COVID-19 fue diseñado deliberadamente para no afectar a la población judía
Falso,El COVID-19 fue diseñado deliberadamente para no afectar a la población judía 
Falso,Qué es el proyecto HAARP que esté detrás de la crisis climática derivada del calentamiento global
Verdadero,"El proyecto de la Universidad de Alaska Fairbanks (Estados Unidos) estudia la ionósfera -la capa más externa de la atmósfera- y no afecta las capas más bajas, donde ocurren los fenómenos meteorológicos."
Verdadero,"Durante la gestión de Patricia Bullrich como ministra de Seguridad de la Nación, bajaron un 30% los homicidios en Rosario"
Verdadero,"La tasa de homicidios dolosos cada 100 mil habitantes pasó de 18,64 en 2015 a 13,16 en 2019. Hubo una disminución del 29,4%, en línea con lo señalado por la precandidata presidencial."
Falso,Barack Obama y Joe Biden se vistieron de rosado por la película de Barbie
Falso,Lucas Grimson “falleció por sobredosis de marihuana”
Falso,Hay evidencia de que la yerba mate contenga grafeno
Falso,"El grafeno es un material que tiene propiedades magnéticas; esto es, se ve atraído por imanes por lo que es peligroso tomar yerba mate."
Falso,La nueva aplicación Threads “esconde algo oscuro” y a partir del 25 de agosto las redes sociales “serán intervenidas”
Falso,El logo de Threads invoca el signo del 666.
Falso,Las vacunas contra el COVID-19 causa cáncer u otras enfermedades
Falso,La vacunas causan autismo
Falso,Un médico en Bolivia descubre la cura contra el cáncer
Falso,"Se descubre tratamiento natural contra el cáncer en Chile, que cuenta con aval científico."
Falso,Nuevo gasoducto: la obra “es todo una farsa”
Falso,Los kukas se robaron toda la plata del gasoducto. VLLC
Falso,Al comprar on line desde el exterior con una tarjeta alemana en pesos argentinos el Banco Central de Argentina le devuelva al cliente el 40%
Falso,El cambio climatico no existe
Falso,Agustín Rossi: “El 25% de nuestra fuerza laboral es monotributista”
Verdadero,"Si se tienen en cuenta los 10,7 millones de trabajadores registrados y los 7,9 no registrados, los monotributistas representan el 13,3% del total, una cifra menor a la señalada por el precandidato a vicepresidente de Unión por la Patria."
Falso,En la inauguración del gasoducto Néstor Kirchner abrieron la válvula sin la cañería terminada
Verdadero,El cambio climatico existe
Falso,La Antártida gano hielo y esto demuestra que el cambio climático no existe
Verdadero,"Un estudio publicado por la Unión Europea de Geociencias concluye que las plataformas de hielo antárticas -extensiones de capas de hielo que flotan sobre el océano- crecieron. Sin embargo, estas plataformas de hielo representan sólo el 10% aproximadamente de la superficie antártica."
Falso,César Sena declaró autopercibirse mujer para evitar la condena por femicidio y ser trasladado a un penal de mujeres
Falso,La tierra es plana
Falso,Sergio Massa dijo: “Mi prioridad será luchar contra la inflación del 140% que dejará este gobierno”
Falso,La tierra no es redonda
Falso,Juan Schiaretti es un reptiliano
Falso,Estudios demuestran que la tierra es plana y la elite son reptiles satanicos
Falso,Emiliano “Dibu” Martínez dijo: “El kirchnerismo es una enfermedad mental”
Falso,"Existen evidencias públicas de que el arquero, Emiliano “Dibu” Martínez,  se expreso en contra del Kirchnerismo"
Verdadero,"Diego Santilli: “Tenemos 469% de inflación acumulada, en el gobierno de Cambiemos fue de 299%”"
Verdadero,"En mayo de 2023 -último dato disponible-, el gobierno de Alberto Fernández (Frente de Todos) alcanzó una inflación acumulada del 469%. Mauricio Macri (Cambiemos) terminó su gobierno en diciembre de 2019 con una inflación acumulada de 293,5%."
Falso,Las vacunas contra COVID-19 tienen nanochips
Falso,Joe Biden vendió “un montón de secretos de estado”
Falso,Joe Biden es un marciano reptil
Verdadero,"Es verdadero que Mariel Fernández, intendenta de Moreno, dijo que contrató actores “blancos” para grabar los spots de campaña en 2019"
Verdadero,"Las palabras de la funcionaria fueron dichas durante un encuentro organizado por el Frente Patria Grande el sábado 17 de junio último, en la Facultad de Economía de la Universidad de Buenos Aires. "
Falso,"Sergio Massa: “En 2019, la inversión en obra pública cayó al 0,4% del PBI”"
Verdadero,"Según datos oficiales, la inversión en obra pública sufrió una caída en 2019, pero en un nivel inferior al planteado por el ministro de Economía: pasó de representar el 1,17% del PBI en 2018 al 0,93% ese año (no el 0,4%)."
Verdadero,Es verdadero el tuit de 2014 de Agustín Rossi donde califica a Sergio Massa como “la peor derecha”
Verdadero,El tuit del actual jefe de Gabinete y precandidato a vicepresidente de Sergio Massa en una de las listas de Unión por la Patria fue publicado durante el segundo gobierno de Cristina Fernández de Kirchner (Frente para la Victoria).
Falso,Sargento del Ejército de Bolivia fue detenido “por disturbios” en Jujuy
Falso,Mel Gibson realizó ningún documental sobre el tráfico infantil
Falso,El actor y director estadounidense forma parte de una casta poderosa que se alimenta de almas
Falso,Sergio Massa divulgó un afiche en el que promete “bajar la inflación a Massazos”
Falso,El Plan Andinia es una es un plan semita para establecer un Estado judío en partes de Argentina y Chile.
Falso,Los ataques cardíacos ocurren con mayor frecuencia en la ducha
Falso,"Los científicos aseguran que existen evidencias de que, si una persona comienza mojándose la cabeza al ducharse, tiene mayor riesgo de sufrir un infarto."
Falso,Elisa Carrió dijo que Luis Juez “puede ser el próximo Kirchner” y pidió no votarlo en las elecciones de Córdoba
Verdadero,"Una nueva reforma de la Constitución fue aprobada este fin de semana en Jujuy, y se registraron hechos de violencia que dieron lugar a desinformaciones. En redes señalaron que tanto el gobernador Gerardo Morales (UCR) como la diputada nacional Carolina Moisés (FDT) utilizaron imágenes sacadas de contexto para ilustrar el conflicto. Es verdadero en ambos casos."
Falso,Una fan de Taylor Swift se suicidó en México por no conseguir entradas para el recital
Falso,Hitler se exilio a la Patagonia luego de la 2da Guerra Mundial
Falso,Papa Francisco posa con la bandera del orgullo LGBT
Falso,Captan a un alienígena en Las Vegas
Falso,Hubo un incendio en una iglesia de Boston durante la celebración de una boda gay
Falso,Al descargarte unas fotos del volcán Chillán de Chile te hackean el teléfono en 10 segundos
Falso,En caso de que te descargues o veas un contenido te interceptan el celular.
Falso,Fraude en las elecciones presidenciales
Falso,Un acta de escrutinio probaría que existió fraude en los comicios provinciales de Tucumán del 11 de junio.
Verdadero,"Martín Lousteau: “El Estado gasta el doble por cada uno de nosotros, ajustado por inflación, que hace 30 años”"
Verdadero,"El gasto público primario por habitante pasó de $ 908 en 1993 (equivalente a $ 147 mil de 2022) a $ 369 mil en 2022. Esto demuestra que aumentó 150% en términos reales, incluso más que lo dicho por Lousteau. "
Falso,El Tribunal de Derechos Humanos de Estrasburgo anuló el matrimonio homosexual
Falso,El Tribunal de Derechos Humanos más importante del mundo estableció textualmente que no existe el derecho al matrimonio homosexual
Falso,"Mauricio Macri reveló detalles de una “charla íntima” con Bárbara Diez, ex pareja de Horacio Rodríguez Larreta"
Falso,El ex presidente habría dicho: “Me contó todas las propiedades que le había robado a la Ciudad”.
Verdadero,Es verdadero que Juan Domingo Perón dijo: “Gobernar es crear trabajo”
Verdadero,"Fue dicho por Perón en 1971 para el documental “Perón: La revolución justicialista”. La frase fue expresada, sin citar explícitamente a Perón, por el actual presidente Alberto Fernández y el ministro del Interior de la Nación Eduardo “Wado” De Pedro, entre otros."
Falso,La artritis reumatoidea se produce por una infección o toxina en el cuerpo y se cura con una dieta
Falso,La artritis reumatoidea es una enfermedad autoinmune de causa hasta ahora desconocida y existen dietas específica que demuestren prevenir o curar dicha enfermedad.
Falso,Foto de Lionel Messi con un libro de Javier Milei en la mano
Falso,"El capitán de la Selección argentina posa con un libro del precandidato presidencial por La Libertad Avanza, Javier Milei."
Falso,Las hojas de espinaca sirven para curar la presión arterial y quitar el dolor de huesos
Falso,"Las hojas de espinaca sirven para curar la presión y quitar el dolor de huesos, gracias al magnesio que contiene esta hoja verde. "
Falso,"Agustín Rossi: “Hoy tenemos una de las desocupaciones más bajas de la historia argentina, el 6,3%”"
Falso,El Gobierno dará una compensación para que personas menstruantes compren gel y pilas para consoladores
Falso,"Lanzan una “compensación mínima, vital y móvil” para que personas menstruantes compren gel y pilas para consoladores."
Falso,Comer hojas de laurel o beber su té sirve para combatir o curar la diabetes
Falso,Las hojas de laurel y el té hecho con ellas son cura para la diabetes y otras enfermedades.
Falso,El Estado nacional invierte más de $ 50 mil millones en el Servicio Alimentario Escolar
Falso,"El Presupuesto 2023 prevé un monto de $ 41.753 millones para la actividad “Comedores Escolares”, y en el primer cuatrimestre de 2023 las partidas cayeron un 40,3% en términos reales. Este recorte se da en un contexto de ajuste del programa de políticas alimentarias y de la AUH. "
Falso,Manifestación de camioneros contra la nueva ley migratoria en Florida y es prueba de una “Miami sin gasolina”
Falso,Largas filas de autos forman por la falta de  gasolina en Miami debido a una manifestación de camioneros por la nueva ley migratoria de Florida.
Falso,Latinos abandonan Florida por la “ley de migración”
Falso,"Ofelia Fernández dijo: “Si yo estuviera pasando hambre, también saldría a robar motos”"
Falso,"La legisladora porteña del Frente de Todos, a pocos días de un hecho policial en el que un policía de civil mató a la persona que le había robado su moto, afirmo que ella tambien robaria motos."
Falso,"Patricia Bullrich, sobre el cepo: “Lo de los US$ 200 lo hizo Alberto Fernández”"
Verdadero,"Ese cupo fue implementado durante la gestión de Cambiemos, precisamente en octubre de 2019, y fue anunciado por Guido Sandleris, entonces presidente del Banco Central de la República Argentina (BCRA)"
Falso,Thelma Fardin tiene un sueldo de $ 400 mil mensuales en la Defensoría del Pueblo bonaerense
Falso,La actriz trabaja desde julio de 2022 como “asesora personal de gabinete” de la Defensoría. Los recibos de sueldo muestran que la actriz percibe un sueldo de $ 400.000 mensuales por su tarea.
Falso,Cristina Fernández de Kirchner dijo: “Ahora Messi también habla de dolarizar”
Falso,Clarín publicó una imagen donde Messi se expresa sobre la dolarización.
Falso,"Explosión en el Pentágono, mueren 10 personas"
Falso,"Tanto la agencia encargada de proteger a la sede del Departamento de Estado de los Estados Unidos como los servicios de emergencia de Arlington, Virginia (ciudad donde queda el Pentágono), indicaron que hubo explosión en el edificio."
Falso,Existe un continente oculto en el Polo Norte
Falso,"Está comprobado que el Polo Norte está en medio del Océano Ártico, sobre aguas generalmente cubiertas por hielo, las cuales esconderian un Continente oculto"
Verdadero,"Cristina Fernández de Kirchner: “En 2015, la Argentina no estaba endeudada. Esto no lo digo yo, Nicolás Dujovne lo dijo con todas las letras”"
Verdadero,"Si se considera la evolución de la deuda bruta de la Administración Central, en los 2 mandatos de Fernández de Kirchner la deuda aumentó. Pero si estos mismos números se miden en relación con el PBI, en el período señalado hay una baja."
Verdadero,"Cristina Fernández de Kirchner: “Cuando me despedí el 9 de diciembre, (…) el riesgo país del que tanto hablan estaba en 495 puntos”"
Verdadero,"El 9 de diciembre de 2015, último día de la gestión de Fernández de Kirchner como presidenta, el riesgo país se ubicaba en 495 puntos, según datos del banco JP Morgan, de los Estados Unidos. "
Verdadero,Cristina Fernández de Kirchner: “Teníamos el mejor salario de América Latina”
Verdadero,"Si se analizan los niveles salariales de diciembre de 2015 según la paridad de poder adquisitivo (que pondera el poder adquisitivo de las monedas), la Argentina tenía un salario mínimo en dólares de US$ 742,3 y era el más alto de América Latina."
Falso,Cristina Fernández de Kirchner: “Hasta el 10 de diciembre de 2015 los argentinos podían comprar US$ 2.500 por mes”
Verdadero,El límite que existía en diciembre de 2015 (cuando Fernández de Kirchner culminó su segundo mandato como presidenta) era de US$ 2.000. Pero en paralelo se impusieron otras restricciones que hicieron que pocas personas pudieran acceder al mercado de cambios oficial.
Falso,"Alberto Fernández: “Durante la gestión de Macri, se frenó todo el proyecto del reactor nuclear CAREM”"
Falso,"El avance de la obra pasó del 42,2% en 2015, al final de la gestión de Cristina Fernández de Kirchner (Frente para la Victoria), al 65,8% en 2019, cuando terminó el mandato de Mauricio Macri (Cambiemos). Se trata de una suba de 23,6 puntos porcentuales."
Falso,Urnas con una cinta rota en La Rioja confirman que se cometió fraude
Falso,"Hubo fraude en las elecciones generales, las boletas estaban rotas"
Falso,La NASA utiliza las fotos de una isla de Canadá para simular que se trata del planeta Marte
Falso,"Aseguran que las misiones de la NASA en Marte se tratan de un montaje y que en realidad las fotos del planeta rojo son supuestamente imágenes tomadas en la isla de Devon, en Canadá."
Falso,Avión vuela junto a un Ovni en Mendoza
Falso,Se avistan Ovnis en la localidade de Bahia Blanca
Falso,Justin Trudeau cambió su postura acerca de la efectividad de la vacunación contra el COVID-19
Falso,"El primer ministro de Canadá, Justin Trudeau, habría cambiado de opinión sobre la efectividad de las vacunas contra el coronavirus."
Falso,Apareció la “figura de la muerte” en la coronación del rey Carlos III
Falso,"En la coronación del rey Carlos III en Londres,aparecio una figura de negro a lo lejos asociada a la ‘figura de la muerte’."
Verdadero,Es verdadero que José de San Martín dijo: “Será posible que la suerte de este país esté sujeta a una docena de malvados”
Verdadero,"San Martín afirmo que el destino de la patria esaria sujeto a una docena de malvados, el 3 de octubre de 1816 en una carta que se encuentra publicada en la obra Documentos del archivo de Pueyrredón."
Verdadero,Es verdadero que Christian Dior dijo: “La única reina que vestí fue Eva Perón”
Verdadero,"La frase es verdadera y fue expresada por Dior en una entrevista en el año 1953 para la revista Paris Match. A pesar de la cita, Dior también vistió a la Princesa Margarita de la realeza británica en 1951."
Falso,Bukele dijo que la Argentina tendría que construir una cárcel como la de El Salvador “para meter a los políticos corruptos que los gobiernan hace 70 años”
Verdadero,El Salvador inauguró en 2023 el Centro de Confinamiento del Terrorismo para 40 mil reclusos. 
Falso,Beber agua alcalina sirve para prevenir o curar el cáncer
Falso,"El agua alcalina -que es un agua menos ácida de lo habitual- ayuda a regular el pH del cuerpo y, por este motivo, mejora nuestra salud y previene el cáncer"
Falso,Hay evidencia científica concluyente de que la hoja de papaya cura el dengue
Falso,"Se ha estudiado el potencial terapéutico de la hoja de papaya en relación al dengue, y se econtraron evidencias científicas concluyentes de que pueda ser utilizado como un tratamiento efectivo contra la enfermedad."
Falso,Existen momentos más favorables para tomar agua y así evitar calambres o un ACV
Falso,Para evitar calambres es necesario tomar agua exclusivamente antes de acostarse.
Falso,La NASA anunció que se abrió una “fisura de 30 metros de ancho” en el volcán de Yellowstone
Falso,Se escapan alienigenas secuestrados de una base de la NASA
Falso,Certificado de antecedentes penales con datos sobre Cristina Fernández de Kirchner demuestran que fue ladrona de bancos en su juventud
Verdadero,"Aunque el dengue no es una enfermedad nueva, en momentos de crisis de salud y aumento de casos -tal como pasó en la pandemia de COVID-19- surgen desinformaciones que circulan a través de las redes sociales."
Verdadero,Joe Biden no parpadea durante 30 segundos
Verdadero,Circula en redes sociales un posteo con un video del presidente Joe Biden en el que se muestra al mandatario dar un discurso de 30 segundos mientras no parpadea.
Falso,Existe un plan para obligar a los ciudadanos a comer insectos y reemplazar a la carne
Falso,Existen iniciativas -como parte de la Agenda 2030 de la Organización de las Naciones Unidas- para obligarnos a comer insectos. 
Falso,Al levantarse rápidamente de la cama durante la noche aumenta el riesgo de accidente cerebrovascular
Falso,Al levantarse de la cama de forma repentina durante la noche aumenta el riesgo de ACV o muerte súbita.
Falso,Cristina Fernández de Kirchner se tiras gases mientras da un discurso
Falso,Las antena de 5G pueden desintegrar las nubes
